region,subregion,station,abbreviation,elevation,year,month,precip,avg precip,pct of avg
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Jun,1.29,0.61,211.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Jul,0.17,0.11,155.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Aug,0.04,0.24,17.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Sep,0.37,0.76,49.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Oct-Sep,44.13,38.22,115.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Wat-Yr,,38.22,115.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Oct,7.97,2.03,393.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Nov,3.26,4.6,71.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Dec,9.12,7.13,128.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Jan,2.21,7.92,28.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Feb,4.94,5.88,84.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Mar,12.6,4.32,292.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Apr,0.69,2.33,30.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,May,2.47,0.94,263.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Jun,1.99,0.35,569.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Jul,0.0,0.06,0.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Aug,0.0,0.03,0.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Sep,0.0,0.39,0.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Oct-Sep,45.25,35.98,126.0
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,2011,Wat-Yr,,35.98,126.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Oct,5.86,2.47,237.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Nov,4.22,4.86,87.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Dec,,6.68,
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Jan,0.91,7.96,11.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Feb,4.51,6.13,74.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Mar,5.55,4.85,114.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Apr,1.06,2.93,36.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,May,2.38,1.13,211.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Jun,1.94,0.49,396.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Jul,,0.1,
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Aug,,0.21,
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Sep,0.15,0.52,29.0
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Oct-Sep,,38.33,
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,2011,Wat-Yr,,38.33,
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Oct,5.14,1.72,299.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Nov,3.13,3.37,93.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Dec,8.38,5.27,159.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Jan,1.68,6.33,27.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Feb,5.71,4.76,120.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Mar,10.44,3.73,280.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Apr,0.66,2.23,30.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,May,2.41,0.71,339.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Jun,1.62,0.28,579.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Jul,0.0,0.06,0.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Aug,0.0,0.11,0.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Sep,0.01,0.28,4.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Oct-Sep,39.18,28.85,136.0
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,2011,Wat-Yr,,28.85,136.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Oct,5.08,2.34,217.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Nov,3.86,5.06,76.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Dec,10.79,7.68,140.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Jan,2.73,9.14,30.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Feb,6.27,7.1,88.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Mar,,4.83,
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Apr,,2.74,
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,May,,0.86,
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Jun,,0.35,
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Jul,,0.06,
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Aug,0.0,0.14,0.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Sep,0.0,0.37,0.0
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Oct-Sep,,40.67,
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,2011,Wat-Yr,,40.67,
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Oct,5.26,2.32,227.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Nov,3.69,4.42,83.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Dec,11.31,7.24,156.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Jan,2.34,8.84,26.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Feb,7.18,6.69,107.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Mar,13.0,4.99,261.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Apr,0.97,2.69,36.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,May,2.78,0.83,335.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Jun,2.66,0.31,858.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Jul,,0.06,
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Aug,,0.12,
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Sep,0.03,0.33,9.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Oct-Sep,,38.84,
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,2011,Wat-Yr,,38.84,
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Oct,7.43,3.05,244.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Nov,5.36,5.51,97.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Dec,16.4,8.97,183.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Jan,3.3,10.96,30.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Feb,9.08,8.67,105.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Mar,19.84,6.64,299.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Apr,,3.57,
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,May,,1.11,
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Jun,3.47,0.35,991.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Jul,0.0,0.03,0.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Aug,0.0,0.18,0.0
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,2011,Sep,0.02,0.46,4.0
